claim_id,state,district,village,latitude,longitude,claim_geometry_id,claim_type,rights_subtype,submission_date,current_stage,last_updated_date,status,gram_sabha_date,sdlc_date,dlc_date,decision_date,pending_reason,gram_sabha_recommendation,sdlc_recommendation,remand_count,last_remand_reason,evidence_types,rejection_reason,appeal_status,appeal_date,claimed_area_ha,forest_record_area_ha,revenue_record_area_ha,forest_overlap_pct,protected_area_type,protected_area_overlap_pct,cfr_map_available,gram_sabha_resolution_date,assigned_unit_id,verification_visit_count,applicant_hash,estimated_eligible_households,forest_dependent_households,village_forest_area_ha,title_copy_delivered_date,linked_schemes
FRA-0000001,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-08,14.0313,79.988259,GEO-0000001,Individual,IFR,2025-04-25,SDLC,2026-08-23,Pending,2025-05-21,2025-09-29,,,Additional evidence requested,Recommended,Not Recommended,0,,Community testimony; Revenue record; Physical boundary markers,,Not Applicable,,0.81,0.71,0.82,79.8,,,,,FRA-AP-001,1,305F0C44FD7D,238,164,1087.1,,
FRA-0000002,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-13,14.486122,80.116744,GEO-0000002,Community,Habitat Rights,2025-07-08,SDLC,2026-08-28,Pending,2025-09-14,2025-10-31,,,Awaiting DLC decision,Recommended,Needs Review,0,,Satellite imagery; Gram Sabha testimony; Forest record; Community testimony,,Not Applicable,,77.26,76.3,79.63,85.4,,,,,FRA-AP-001,2,B24E73F9B32D,281,159,1733.9,,
FRA-0000003,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-10,14.251073,80.311677,GEO-0000003,Individual,IFR,2024-05-10,DLC Decision,2025-01-26,Rejected,2024-06-16,2024-07-27,2024-12-10,2025-01-01,,Needs Review,Needs Review,1,Boundary re-verification,Legacy residence/cultivation record; Satellite imagery; Revenue record,Boundary discrepancy,Under Review,2025-02-03,0.82,0.87,0.5,83.3,,,,,FRA-AP-001,2,FC2DF6D5D6A6,163,51,594.0,,
FRA-0000004,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-14,14.371522,80.09671,GEO-0000004,Individual,IFR,2021-05-06,Title Issued,2022-02-12,Approved,2021-07-22,2021-12-04,2022-01-24,2022-02-06,,Recommended,Recommended,0,,Government map; Satellite imagery,,Not Applicable,,1.05,1.14,1.11,91.2,,,,,FRA-AP-001,2,DCE0EFF6459D,116,78,829.0,2022-05-28,MGNREGA; NRLM; PDS convergence
FRA-0000005,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-10,14.230701,80.325817,GEO-0000005,Individual,IFR,2026-04-14,DLC Decision,2026-09-04,Rejected,2026-05-11,2026-07-28,2026-08-20,2026-08-28,,Recommended,Needs Review,2,Gram Sabha reconsideration,Satellite imagery; Physical boundary markers; Community testimony; Gram Sabha testimony,Eligibility period not established,Not Appealed,,1.74,1.86,1.61,79.0,Wildlife Sanctuary,81.9,,,FRA-AP-001,4,109AFFFA1D87,163,51,594.0,,
FRA-0000006,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-10,14.223013,80.330252,GEO-0000006,Individual,IFR,2024-02-07,Title Issued,2024-11-28,Approved,2024-04-25,2024-07-13,2024-11-25,2024-11-28,,Recommended,Recommended,0,,Gram Sabha testimony; Legacy residence/cultivation record; Satellite imagery,,Not Applicable,,1.16,1.1,1.08,99.0,,,,,FRA-AP-001,3,35210C801B7B,163,51,594.0,2025-03-06,
FRA-0000007,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-07,14.397987,80.280505,GEO-0000007,Individual,IFR,2025-09-04,Title Issued,2026-06-06,Approved,2025-09-26,2025-12-05,2026-05-07,2026-06-04,,Needs Review,Needs Review,0,,Gram Sabha testimony; Satellite imagery; Legacy residence/cultivation record; Physical boundary markers,,Not Applicable,,1.17,0.73,1.15,84.6,,,,,FRA-AP-001,2,CAF782562108,346,247,429.7,2026-07-31,MGNREGA; Tribal Livelihood Support
FRA-0000008,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-11,14.145751,79.984582,GEO-0000008,Individual,IFR,2024-08-31,Title Issued,2025-02-11,Approved,2024-11-04,2024-11-25,2025-01-13,2025-01-15,,Recommended,Recommended,0,,Gram Sabha testimony; Forest record,,Not Applicable,,2.07,2.04,2.0,71.6,,,,,FRA-AP-001,2,0A4DA127A372,519,273,3078.8,2025-04-07,NRLM
FRA-0000009,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-02,14.049636,79.973826,GEO-0000009,Individual,IFR,2026-05-09,DLC Decision,2026-09-04,Rejected,2026-07-23,2026-08-29,2026-08-31,2026-09-01,,Recommended,Recommended,0,,Forest record; Community testimony; Satellite imagery; Physical boundary markers,Eligibility period not established,Appeal Filed,2026-09-04,2.41,2.28,2.62,81.9,,,,,FRA-AP-001,2,7D35724B7CCB,608,255,573.2,,
FRA-0000010,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-06,14.221825,79.903779,GEO-0000010,Individual,IFR,2024-02-26,Title Issued,2024-12-16,Approved,2024-05-03,2024-07-13,2024-11-06,2024-11-16,,Recommended,Needs Review,0,,Physical boundary markers; Forest record,,Not Applicable,,1.5,1.38,1.48,93.9,,,,,FRA-AP-001,2,E76684CA2EEB,460,198,2060.2,,NRLM
FRA-0000011,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-12,14.13215,80.330911,GEO-0000011,Individual,IFR,2026-06-14,Title Issued,2026-09-04,Approved,2026-07-25,2026-08-09,2026-08-29,2026-08-29,,Recommended,Not Recommended,0,,Legacy residence/cultivation record; Satellite imagery; Physical boundary markers,,Not Applicable,,0.92,1.53,0.89,85.8,,,,,FRA-AP-001,2,E77CE6E2CAD6,358,244,3826.1,,PMAY-G; Tribal Livelihood Support
FRA-0000012,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-04,14.119549,80.076866,GEO-0000012,Individual,IFR,2025-05-26,Title Issued,2026-02-12,Approved,2025-07-18,2025-11-10,2026-02-07,2026-02-09,,Recommended,Recommended,0,,Physical boundary markers; Satellite imagery,,Not Applicable,,1.57,1.45,1.5,94.8,,,,,FRA-AP-001,3,90F710AE5008,196,161,343.5,,
