assigned_unit_id,state,district,case_count,approved,pending,rejected,approval_rate_pct,pending_rate_pct,rejection_rate_pct,synthetic_center_lat,synthetic_center_lon,allocation_basis
FRA-AP-001,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 01,120,59,37,24,49.2,30.8,20.0,14.217285,80.168032,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-002,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 02,138,82,40,16,59.4,29.0,11.6,14.795589,80.685141,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-003,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 03,73,37,23,13,50.7,31.5,17.8,16.028798,79.185002,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-004,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 04,136,79,34,23,58.1,25.0,16.9,16.768015,78.417138,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-005,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 05,107,66,19,22,61.7,17.8,20.6,17.655369,78.218217,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-006,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 06,194,126,42,26,64.9,21.6,13.4,14.886602,78.927339,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-007,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 07,56,30,15,11,53.6,26.8,19.6,16.312261,83.581267,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-008,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 08,149,92,34,23,61.7,22.8,15.4,13.731626,82.476288,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-009,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 09,80,46,19,15,57.5,23.8,18.8,17.321818,82.448291,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-010,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 10,57,36,14,7,63.2,24.6,12.3,14.93143,83.310244,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-011,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 11,85,45,21,19,52.9,24.7,22.4,15.216427,80.544931,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-012,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 12,105,61,32,12,58.1,30.5,11.4,17.943316,80.368873,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-013,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 13,69,41,15,13,59.4,21.7,18.8,14.578679,81.064488,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-014,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 14,78,43,20,15,55.1,25.6,19.2,14.006728,79.563662,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-015,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 15,159,95,37,27,59.7,23.3,17.0,17.932242,81.731553,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AP-016,Andhra Pradesh,Andhra Pradesh FRA Monitoring Unit 16,82,55,18,9,67.1,22.0,11.0,15.969441,82.263822,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-001,Assam,Assam FRA Monitoring Unit 01,98,55,26,17,56.1,26.5,17.3,25.512532,94.948273,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
